Service Name,RequestCount
services/Model.GPServer,0
services/MyMapService.MapServer,2
services/MYModel.GPServer,0
services/MYModel.MapServer,0
services/Portland_Local_Projection_Scene_WEL.ImageServer,1
services/SampleWorldCities.MapServer,15
services/esridev/esridev_feature.MapServer,10
services/esridev/esridev_test1.MapServer,1
services/esridev/esridev_test2.MapServer,0
services/esridev/esridev_test3cache.MapServer,1
services/Hosted/AR.FeatureServer,0
services/Hosted/AZ.FeatureServer,0
services/Hosted/FL.FeatureServer,0
services/Hosted/ID.FeatureServer,0
services/Hosted/IN.FeatureServer,0
services/Hosted/KS.FeatureServer,0
services/Hosted/LA.FeatureServer,0
services/Hosted/NC.FeatureServer,0
services/Hosted/NH.FeatureServer,0
services/Hosted/NV.FeatureServer,0
services/System/CachingControllers.GPServer,0
services/System/CachingTools.GPServer,7
services/System/CachingToolsEx.GPServer,0
services/System/DistributedWorker.GPServer,0
services/System/DynamicMappingHost.MapServer,0
services/System/GeoAnalyticsManagement.GPServer,0
services/System/GeoAnalyticsTools.GPServer,0
services/System/PublishingTools.GPServer,339
services/System/PublishingToolsEx.GPServer,345
services/System/RasterAnalysisTools.GPServer,0
services/System/RasterProcessing.ImageServer,0
services/System/RasterRendering.ImageServer,0
services/System/ReportingTools.GPServer,2
services/System/SceneCachingControllers.GPServer,11
services/System/SceneCachingTools.GPServer,0
services/System/SpatialAnalysisTools.GPServer,0
services/System/SyncTools.GPServer,0
services/System/SyncToolsEx.GPServer,0
services/System/UtilityNetworkTools.GPServer,0
services/Utilities/GeocodingTools.GPServer,0
services/Utilities/Geometry.GeometryServer,0
services/Utilities/PrintingTools.GPServer,1
services/Utilities/RasterUtilities.GPServer,0
